Timestamp,\TPOL,TZ01,TZ02,TZ03,TZ04,TZ05,TZ06,TZ07,TZ09,TZ0A,TZ0B,1P05V_CAM_F,1P8VSUS_ORG,1P8V_CAM_F,1P8V_TOUCH,2P8V_CAM_F,3P3V_TOUCH,3P3_PANEL,3P3_Retimer0,3P3_Retimer1,3P3_SSD,3P3_WLAN,5V_VBUS,DISPLAY_BACKLIGHT,PMIC1,PMIC2,PMIC3,PMIC4,RAPL_Package0_DRAM,RAPL_Package0_PKG,RAPL_Package0_PP0,RAPL_Package0_PP1,TI_SCVR,VCCIO,VSYS
10:29:32.279,0.00,40.95,32.45,32.45,28.25,25.35,25.35,32.45,28.65,31.55,31.75,0.00,78.17,0.00,0.09,0.00,132.73,1144.62,0.00,0.00,191.95,270.45,1.18,1043.08,8454.09,650.95,1281.13,245.60,133.76,4870.09,3880.67,46.77,12211.88,268.35,15893.34
10:29:37.279,0.00,40.95,32.45,32.45,28.25,25.35,25.35,32.45,28.65,31.55,31.75,0.00,77.67,0.00,0.15,0.00,133.21,895.05,0.00,0.00,359.03,243.63,1.25,1040.74,7339.24,798.13,1355.33,191.97,121.37,5386.43,3431.40,25.94,10903.02,281.26,14782.56
10:29:42.279,0.00,42.25,32.35,32.45,28.35,25.35,25.35,32.35,29.05,32.05,32.25,0.00,70.63,0.00,0.12,0.00,133.28,782.42,0.00,0.00,191.83,209.94,0.98,1040.42,3309.48,396.56,763.19,103.91,67.00,1988.92,958.50,8.57,5296.32,170.89,8864.85
10:29:47.279,0.00,43.35,32.45,32.55,28.45,25.45,25.45,32.45,29.25,32.45,32.65,0.00,71.87,0.00,0.14,0.00,133.51,848.17,0.00,0.00,256.77,218.61,1.43,1040.98,4199.56,565.97,1013.81,162.19,96.64,3028.03,1609.13,24.13,6783.38,221.98,10506.50
10:29:52.279,0.00,44.35,32.65,32.65,28.45,25.45,25.45,32.65,29.45,32.75,32.95,0.00,66.37,0.00,0.11,0.00,133.78,739.21,0.00,0.00,153.00,215.20,1.42,1039.53,2860.38,364.76,766.73,108.81,82.59,2888.91,936.33,8.34,4637.14,142.49,8140.41
10:29:57.279,0.00,43.85,32.85,32.85,28.45,25.45,25.45,32.85,29.25,32.65,32.85,0.00,78.66,0.00,0.21,0.00,133.96,852.52,0.00,0.00,211.49,207.99,0.80,1041.51,15839.46,3049.78,995.52,695.35,124.58,11426.72,9457.58,393.75,22213.91,231.41,25782.42
10:30:02.279,0.00,47.15,33.15,33.05,28.45,25.45,25.45,33.15,29.75,33.55,33.75,0.00,76.84,0.00,0.13,0.00,133.11,761.51,0.00,0.00,147.34,214.01,1.18,1039.84,10261.67,2445.73,964.67,2676.79,224.94,10123.30,6792.82,1770.71,17811.84,218.11,20810.21
10:30:07.279,0.00,47.15,33.15,33.05,28.45,25.45,25.45,33.15,29.75,33.55,33.75,0.00,76.17,0.00,0.04,0.00,133.44,788.18,0.00,0.00,174.24,208.79,1.12,1038.72,9705.36,2291.94,980.83,2642.36,230.43,9981.11,6658.42,1736.67,17038.08,229.60,20038.35
10:30:12.279,0.00,48.45,33.65,33.25,28.45,25.45,25.45,33.65,29.85,33.85,33.95,0.00,77.32,0.00,0.04,0.00,133.71,774.29,0.00,0.00,288.68,208.01,0.16,920.67,10554.31,2334.19,958.27,2573.76,220.18,9965.72,6631.58,1681.70,17984.15,260.96,20952.52
10:30:17.279,0.00,50.55,34.25,33.45,28.45,25.55,25.55,34.25,30.05,34.25,34.35,0.00,77.25,0.00,0.21,0.00,133.21,766.47,0.00,0.00,278.59,214.45,1.30,758.52,10477.11,2320.34,965.44,2569.87,221.51,9957.78,6612.66,1679.25,17911.89,257.36,20687.80
10:30:22.279,0.00,50.85,35.05,33.75,28.55,25.55,25.55,35.05,30.05,34.15,34.15,0.00,76.56,0.00,0.14,0.00,133.54,781.03,0.00,0.00,199.82,215.47,3.24,632.99,10734.66,2291.39,960.83,2584.29,218.65,9963.66,6665.55,1688.59,18032.92,234.37,20636.39
10:30:27.279,0.00,51.35,35.85,34.05,28.75,25.55,25.55,35.85,30.15,34.15,34.05,0.00,76.75,0.00,0.03,0.00,133.22,799.22,0.00,0.00,218.50,190.38,0.24,518.56,10199.45,2338.05,977.46,2604.61,219.90,9962.35,6624.05,1703.48,17583.04,242.82,20096.92
10:30:32.279,0.00,52.85,37.25,34.75,29.05,25.55,25.55,37.25,30.45,34.45,34.35,0.00,77.65,0.00,0.05,0.00,109.66,793.00,0.00,0.00,300.44,210.59,0.62,438.13,9976.96,2348.80,988.85,2632.60,223.39,9962.15,6558.78,1718.06,17419.17,266.69,19951.65
10:30:37.279,0.00,52.85,37.25,34.75,29.05,25.55,25.55,37.25,30.45,34.45,34.35,0.00,76.88,0.00,0.09,0.00,71.77,794.99,0.00,0.00,232.98,211.63,0.44,360.25,10227.24,2332.92,988.40,2618.83,218.44,9968.28,6617.64,1705.47,17511.78,247.32,19912.23
10:30:42.279,0.00,53.35,37.85,35.05,29.25,25.55,25.55,37.85,30.55,34.65,34.45,0.00,77.06,0.00,0.06,0.00,71.83,763.33,0.00,0.00,185.61,212.89,1.04,299.51,10061.46,2360.19,995.36,2634.44,224.53,9955.16,6639.54,1716.86,17511.53,232.52,19625.08
